  6519 20 	     3.0E-4 % 3 	  1.96E-5 20 
  6589 8 	     0.0020 % 6 	  1.3E-4 4 
  6636 15  	     3.0E-4 % 3 	  1.99E-5 20 
  6671 10 	     8E-4 % 3 	  5.3E-5 20 
  6754 10 	     8E-4 % 3 	  5.4E-5 20 
  6802 8 	     0.0016 % 5 	  1.1E-4 3 
  6819 15 	     4.0E-4 % 20 	  2.7E-5 14 
  6954 3 	     0.060 % 20 	  0.0042 14 
  7386.1 8 	    99.999770 %	  7.3861
